name,description,framework_id
Objetivo 1: Poner fin a la pobreza en todas sus formas en todo el mundo,"Erradicar la pobreza extrema para todas las personas en todo el mundo para 2030 es un objetivo fundamental de la Agenda 2030 para el desarrollo sostenible.
La pobreza extrema, entendida como el hecho de sobrevivir con menos de 2,15 dolares por persona al dia segun la paridad del poder adquisitivo de 2017, ha experimentado descensos notables en las ultimas decadas. Sin embargo, la aparicion de la COVID-19 marco un punto de inflexion, al revertir estos avances, ya que el numero de personas que viven en la pobreza extrema aumento por primera vez en una generacion en casi 90 millones con respecto a las predicciones anteriores.
Incluso antes de la pandemia, el impulso de la reduccion de la pobreza se estaba desacelerando. Para finales de 2022, el pronostico inmediato sugirio que el 8,4 % de la poblacion mundial, o hasta 670 millones de personas, podrian seguir viviendo en la pobreza extrema. Este reves borro efectivamente alrededor de tres anos de progreso en el alivio de la pobreza.
Si persisten los patrones actuales, se estima que el 7 % de la poblacion mundial (aproximadamente 575 millones de personas) aun podria encontrarse atrapada en la pobreza extrema para 2030, con una concentracion significativa en el Africa subsahariana.
Una revelacion alarmante es el resurgimiento de los niveles de hambre a los registrados por ultima vez en 2005. Igualmente preocupante es el aumento persistente de los precios de los alimentos en un mayor numero de paises en comparacion con el periodo de 2015 a 2019. Este doble problema de la pobreza y la seguridad alimentaria plantea una grave preocupacion mundial.",1
Objetivo 2: Poner fin al hambre,"El objetivo 2 es crear un mundo libre de hambre para 2030. El problema global del hambre y la inseguridad alimentaria ha mostrado un aumento alarmante desde 2015, una tendencia exacerbada por una combinacion de factores que incluyen la pandemia, los conflictos, el cambio climatico y la profundizacion de las desigualdades.
En 2022, aproximadamente 735 millones de personas (o el 9,2 % de la poblacion mundial) se encontraban en estado de hambre cronica, un aumento vertiginoso en comparacion con 2019. Estos datos subrayan la gravedad de la situacion y revelan una crisis creciente.
Ademas, se estima que 2400 millones de personas se enfrentaron a inseguridad alimentaria de moderada a grave en 2022; lo que significa que carecen de acceso a una alimentacion suficiente. Este numero aumento en unos alarmantes 391 millones de personas en comparacion con 2019.
El persistente aumento del hambre y la inseguridad alimentaria, impulsado por una compleja interaccion de factores, exige atencion inmediata y esfuerzos globales coordinados para aliviar este desafio humanitario critico.
El hambre y la malnutricion extremas siguen siendo un obstaculo para el desarrollo sostenible y crean una trampa de la que las personas no pueden escapar facilmente. El hambre y la malnutricion se traducen en individuos menos productivos, mas propensos a las enfermedades y, por tanto, a menudo imposibilitados para ganar mas y mejorar sus medios de subsistencia. 2000 millones de personas en el mundo no tienen acceso habitual a alimentos seguros, nutritivos y suficientes. En 2022, 148 millones de ninos sufrieron retraso en el crecimiento y 45 millones de ninos menores de 5 anos sufrieron emaciacion.",1
Objetivo 3: Garantizar una vida sana y promover el bienestar para todos en todas las edades,"En los ultimos anos se han logrado grandes avances en la mejora de la salud de las personas. 146 de 200 paises o regiones ya han cumplido o estan en camino de alcanzar la meta de los ODS sobre mortalidad en menores de 5 anos. El tratamiento eficaz contra el VIH ha reducido las muertes relacionadas con el sida en un 52 % desde 2010 y se ha eliminado al menos una enfermedad tropical desatendida en 47 paises.
Sin embargo, todavia persisten las desigualdades en el acceso a la atencion sanitaria. La pandemia de la COVID-19 y otras crisis en curso han impedido el progreso hacia el objetivo 3. La vacunacion infantil ha experimentado el mayor descenso en tres decadas y las muertes por tuberculosis y malaria han aumentado en comparacion con los niveles previos a la pandemia.
Los Objetivos de Desarrollo Sostenible suponen un compromiso audaz para poner fin a las epidemias de sida, tuberculosis, malaria y otras enfermedades transmisibles para 2030. El objetivo es lograr la cobertura sanitaria universal y proporcionar acceso a medicamentos y vacunas seguros y asequibles para todos.
Para superar estos contratiempos y abordar las persistentes deficiencias en la atencion de la salud, se necesita una mayor inversion en los sistemas sanitarios con el fin de apoyar a los paises en su recuperacion y desarrollar resiliencia contra futuras amenazas a la salud.",1
"Objetivo 4: Garantizar una educacion inclusiva, equitativa y de calidad y promover oportunidades de aprendizaje durante toda la vida para todos","El progreso hacia una educacion de calidad ya era mas lento de lo requerido antes de la pandemia, pero la covid-19 ha tenido impactos devastadores en la educacion, provocando perdidas de aprendizaje en cuatro de cada cinco paises de un total de 104 analizados.
Sin medidas adicionales, se estima que 84 millones de ninos y jovenes no asistiran a la escuela de aqui a 2030 y aproximadamente 300 millones de estudiantes careceran de las habilidades basicas de aritmetica y alfabetizacion necesarias para tener exito en la vida.
El progreso hacia una educacion de calidad ya era mas lento de lo requerido antes de la pandemia, pero la covid-19 ha tenido impactos devastadores en la educacion, provocando perdidas de aprendizaje en cuatro de cada cinco paises de un total de 104 analizados.
Sin medidas adicionales, se estima que 84 millones de ninos y jovenes no asistiran a la escuela de aqui a 2030 y aproximadamente 300 millones de estudiantes careceran de las habilidades basicas de aritmetica y alfabetizacion necesarias para tener exito en la vida.
Ademas de la educacion primaria y secundaria gratuita para todos los ninos y ninas de aqui a 2030, el objetivo es proporcionar igualdad de acceso a una formacion profesional asequible, eliminar las disparidades de genero y riqueza y lograr el acceso universal a una educacion superior de calidad.
La educacion es la clave que permitira alcanzar muchos otros objetivos de desarrollo sostenible (ODS). Cuando las personas pueden obtener una educacion de calidad, pueden romper el ciclo de la pobreza.
La educacion ayuda a reducir las desigualdades y a alcanzar la igualdad de genero. Tambien ayuda a las personas de todo el mundo vivir una vida mas saludable y sostenible. La educacion tambien es importante para fomentar la tolerancia entre las personas y contribuye al desarrollo de sociedades mas pacificas.
Para cumplir el objetivo 4, la financiacion de la educacion debe convertirse en una prioridad de inversion nacional. Ademas, medidas como hacer que la educacion sea gratuita y obligatoria, aumentar el numero de docentes, mejorar la infraestructura escolar basica y adoptar la transformacion digital son esenciales.",1
Objetivo 5: Lograr la igualdad entre los generos y empoderar a todas las mujeres y las ninas,"La igualdad de genero no solo es un derecho humano fundamental, sino que es uno de los fundamentos esenciales para construir un mundo pacifico, prospero y sostenible. Se han conseguido algunos avances durante las ultimas decadas, pero el mundo esta lejos de alcanzar la igualdad de genero para 2030.
Las mujeres y ninas constituyen la mitad de la poblacion mundial y, por tanto, tambien la mitad de su potencial. Pero la desigualdad de genero prevalece y estanca el progreso social.
De media, las mujeres ganan un 23 % menos que los hombres en el mercado laboral mundial y dedican el triple de horas al trabajo domestico y de cuidados no remunerado que los hombres.
La violencia y la explotacion sexuales, el reparto desigual del trabajo domestico y de cuidados no remunerado y la discriminacion en los cargos publicos siguen suponiendo enormes obstaculos. Todas estas desigualdades se han visto agravadas por la pandemia de la COVID-19: han aumentado las denuncias por violencia sexual, las mujeres han asumido mas trabajo de cuidados debido al cierre de escuelas, y el 70 % del personal sanitario y social del mundo son mujeres.
Al ritmo actual, se calcula que se tardara 300 anos en acabar con el matrimonio infantil, 286 anos en subsanar las lagunas de proteccion juridica y eliminar las leyes discriminatorias, 140 anos en que las mujeres esten representadas en pie de igualdad en puestos de poder y liderazgo en el lugar de trabajo y 47 anos en lograr la igualdad de representacion en los parlamentos nacionales.
Es necesario un liderazgo politico, unas inversiones y unas reformas politicas integrales para desmantelar las barreras sistemicas que impiden alcanzar el Objetivo 5. La igualdad de genero es un objetivo transversal y debe ser un elemento clave en las politicas, presupuestos e instituciones nacionales.",1
Objetivo 6: Garantizar la disponibilidad de agua y su gestion sostenible y el saneamiento para todos,"El acceso al agua potable, el saneamiento y la higiene representan la necesidad humana mas basica para el cuidado de la salud y el bienestar. Miles de millones de personas no tendran acceso a estos servicios basicos en 2030 a menos que se cuadrupliquen los avances. El rapido crecimiento de la poblacion, la urbanizacion y las crecientes necesidades en materia de agua de los sectores agricola, industrial y energetico estan provocando un aumento de la demanda de agua.
La demanda de agua ha superado el crecimiento demografico y la mitad de la poblacion mundial actualmente sufre una escasez de agua grave durante al menos un mes al ano. Se preve que la escasez de agua aumente con el incremento de las temperaturas globales, provocado a su vez por el cambio climatico.
Entre las medidas necesarias para garantizar el acceso universal al agua potable segura y asequible de aqui a 2030 se encuentran las inversiones en infraestructuras e instalaciones de saneamiento, la proteccion y el restablecimiento de los ecosistemas relacionados con el agua, asi como la educacion en materia de higiene. Ademas, la mejora del uso eficiente de los recursos hidricos es una de las claves para reducir el estres hidrico.
Se ha producido una evolucion positiva. Entre los anos 2015 y 2022, la proporcion de la poblacion mundial con acceso a servicios de agua potable gestionados de manera segura aumento del 69 % al 73 %.",1
"Objetivo 7: Garantizar el acceso a una energia asequible, segura, sostenible y moderna","El Objetivo 7 pretende garantizar el acceso a una energia limpia y asequible, clave para el desarrollo de la agricultura, las empresas, las comunicaciones, la educacion, la sanidad y el transporte.
El mundo continua avanzando para alcanzar las metas de energia sostenible, pero no lo suficientemente rapido. Al ritmo actual, alrededor de 660 millones de personas continuaran sin acceso a la energia electrica y casi 2000 millones de personas seguiran dependiendo de combustibles y tecnologias contaminantes para cocinar en 2030.
Nuestro dia a dia depende de una energia segura y asequible. No obstante, el consumo de energia sigue siendo la principal causa del cambio climatico, ya que representa alrededor del 60 % de las emisiones mundiales de gases de efecto invernadero.
La tasa mundial de acceso a la energia electrica aumento del 87 % en 2015 al 91 % en 2021.
Para garantizar acceso universal a electricidad asequible en 2030, es necesario invertir en fuentes de energia limpia, como la solar, eolica y termal. Ampliar las infraestructuras y mejorar la tecnologia para suministrar energia limpia en todos los paises en desarrollo son objetivos cruciales que contribuyen tanto al desarrollo como al medioambiente.",1
"Objetivo 8: Promover el crecimiento economico inclusivo y sostenible, el empleo y el trabajo decente para todos","El Objetivo 8 pretende promover el crecimiento economico inclusivo y sostenible, el empleo y el trabajo decente para todos.
Diversas crisis amenazan gravemente la economia mundial. Se preve que el crecimiento real del PIB mundial per capita se desacelere en 2023. Las dificiles condiciones economicas empujan a mas trabajadores al empleo informal.
Se ha producido un incremento de la productividad laboral y un descenso de la tasa de desempleo a escala mundial. No obstante, es necesario seguir avanzando para mejorar las oportunidades de empleo, especialmente entre jovenes, reducir el empleo informal y la desigualdad en el mercado laboral (sobre todo en lo que respecta a la brecha salarial entre hombres y mujeres), promover entornos de trabajo seguros y protegidos y mejorar el acceso a los servicios financieros para garantizar un crecimiento economico sostenido e inclusivo.
A medida que las economias empezaban a recuperarse de los efectos de la pandemia de la COVID-19, la tasa de desempleo mundial se redujo significativamente en 2022, cayendo hasta el 5,4 % a partir de un pico maximo del 6,6 % en 2020. Esta tasa fue inferior al nivel prepandemico del 5,5 % de 2019.",1
"Objetivo 9: Construir infraestructuras resilientes, promover la industrializacion sostenible y fomentar la innovacion","El Objetivo 9 pretende construir infraestructuras resilientes, promover la industrializacion sostenible y fomentar la innovacion.
El crecimiento economico, el desarrollo social y la accion por el clima dependen en gran medida de las inversiones en infraestructuras, el desarrollo industrial sostenible y el progreso tecnologico. Ante la rapida evolucion del panorama economico mundial y el aumento de las desigualdades, el crecimiento sostenido debe implicar una industrializacion que, en primer lugar, haga accesibles las oportunidades a todas las personas y, en segundo lugar, se apoye en la innovacion y en infraestructuras resistentes.
La industria manufacturera mundial, considerada uno de los motores del crecimiento economico global, ha venido experimentando un declive constante debido a los aranceles y las tensiones comerciales, incluso antes del inicio de la pandemia de la COVID-19. El declive de la industria manufacturera provocado por la pandemia ha tenido graves repercusiones en la economia mundial.
Esto se debe principalmente a la elevada inflacion, los cambios en el precio de la energia, las continuas interrupciones en el suministro de materias primas y productos intermedios, y la desaceleracion de la economia mundial.
Mientras que los paises menos adelantados (PMA) de Asia han realizado progresos considerables, los PMA de Africa tendrian que cambiar la trayectoria actual e intensificar significativamente sus avances para alcanzar el objetivo de aqui a 2030. Sin embargo, las industrias de tecnologia media-alta y alta mostraron solidas tasas de crecimiento.",1
Objetivo 10: Reducir la desigualdad en y entre los paises,"La desigualdad amenaza el desarrollo social y economico a largo plazo, frena la reduccion de la pobreza y destruye el sentido de realizacion y autoestima de las personas.
En la mayoria de los paises, los ingresos del 40 % mas pobre de la poblacion aumentaron con mayor rapidez que la media nacional. Sin embargo, los ultimos datos, aun no concluyentes, sugieren que la COVID-19 puede haber perjudicado esta tendencia positiva de reduccion de la desigualdad dentro de los paises.
La pandemia tambien provoco el mayor aumento de la desigualdad entre paises en tres decadas. Para reducir la desigualdad tanto dentro de los paises como entre ellos es necesario distribuir equitativamente los recursos, invertir en la ensenanza y el desarrollo de capacidades, implementar medidas de proteccion social, luchar contra la discriminacion, apoyar a los grupos marginados y fomentar la cooperacion internacional para un comercio y sistemas financieros justos.",1
